Latitude;Longitude;Date;Time
39.97779;116.340965;16/12/2008;01:00:33
39.980635;116.344106;16/12/2008;01:05:23
39.980928;116.345811;16/12/2008;01:07:43
39.982345;116.345531;16/12/2008;03:42:56
39.982379;116.344465;16/12/2008;03:45:01
39.981862;116.340291;16/12/2008;03:49:11
39.981862;116.340291;16/12/2008;03:49:11
39.98118;116.338813;16/12/2008;03:55:06
39.980509;116.339637;16/12/2008;04:11:36
39.981532;116.343793;16/12/2008;04:16:06
39.980736;116.346284;16/12/2008;04:18:56
39.981638;116.342509;16/12/2008;09:33:42
39.981323;116.339833;16/12/2008;09:36:02
39.981429;116.338837;16/12/2008;09:40:02
39.981167;116.340839;16/12/2008;09:44:07
39.982044;116.336765;16/12/2008;10:14:37
39.982108;116.339483;16/12/2008;10:19:32
39.981876;116.343213;16/12/2008;10:24:47
39.980496;116.346278;16/12/2008;10:28:42
39.980361;116.346059;16/12/2008;10:39:37
39.981733;116.346542;16/12/2008;10:43:37
39.983078;116.341467;16/12/2008;10:47:12
39.981833;116.346131;16/12/2008;10:50:22
39.981891;116.346659;16/12/2008;10:56:07
39.981739;116.346252;16/12/2008;10:59:27
39.981535;116.345977;16/12/2008;11:04:42
39.981593;116.344799;16/12/2008;11:08:32
39.981692;116.346153;16/12/2008;11:15:17
39.981837;116.346385;16/12/2008;11:19:52
39.981993;116.346277;16/12/2008;11:25:22
39.981963;116.346136;16/12/2008;11:30:12
39.981698;116.346197;16/12/2008;11:34:52
39.982106;116.346268;16/12/2008;11:43:47
39.981764;116.346204;16/12/2008;11:47:02
39.98179;116.346159;16/12/2008;11:50:22
39.982035;116.346507;16/12/2008;11:55:42
39.981934;116.346205;16/12/2008;11:59:07
39.982089;116.346076;16/12/2008;12:06:57
39.981673;116.346023;16/12/2008;12:10:12
39.981819;116.346374;16/12/2008;12:15:07
39.981902;116.345951;16/12/2008;12:25:17
39.982003;116.346198;16/12/2008;12:30:12
39.981681;116.346355;16/12/2008;12:34:57
39.982048;116.34626;16/12/2008;12:39:17
39.981851;116.346067;16/12/2008;12:49:02
39.981811;116.346196;16/12/2008;12:52:32
39.981916;116.346162;16/12/2008;12:55:12
39.981815;116.346327;16/12/2008;13:07:12
39.982192;116.345859;16/12/2008;13:09:17
39.981719;116.346149;16/12/2008;13:13:07
39.981804;116.346198;16/12/2008;13:17:17
39.981758;116.345713;16/12/2008;13:23:37
39.982043;116.345931;16/12/2008;13:28:07
39.981789;116.346369;16/12/2008;13:31:32
39.981755;116.346179;16/12/2008;13:35:12
39.981365;116.345235;16/12/2008;13:50:28
39.981816;116.346235;16/12/2008;13:55:08
39.981947;116.346113;16/12/2008;13:59:33
39.981986;116.346347;16/12/2008;14:00:59
39.981835;116.346311;16/12/2008;14:05:34
39.981925;116.345945;16/12/2008;14:10:54
39.981857;116.345962;16/12/2008;14:15:59
39.982151;116.34589;16/12/2008;14:20:19
39.981702;116.346008;16/12/2008;14:22:24
39.981469;116.346147;16/12/2008;14:26:14
39.982231;116.345882;16/12/2008;14:30:24
39.981674;116.346315;16/12/2008;14:35:24
39.981927;116.345865;16/12/2008;14:40:54
39.980993;116.345976;16/12/2008;14:45:56
39.981504;116.345886;16/12/2008;14:50:17
39.981384;116.345938;16/12/2008;14:52:50
39.981414;116.345749;16/12/2008;14:56:47
39.981597;116.345895;16/12/2008;15:00:58
39.98112;116.345876;16/12/2008;15:03:13
39.980822;116.346002;16/12/2008;15:15:58
39.98152;116.343778;16/12/2008;15:20:34
39.980999;116.339661;16/12/2008;15:26:59
39.979528;116.33879;16/12/2008;15:30:59
39.976614;116.338886;16/12/2008;15:36:09
39.976888;116.340664;16/12/2008;15:48:24
39.977253;116.339135;16/12/2008;15:56:59
39.976985;116.340451;16/12/2008;15:59:34
